indicador,ano,nivel_territorial,codigo_localidade,localidade,variavel,unidade,valor,classificacao,categoria
Percentual por faixas de renda,2010,Município,2513703,Santa Rita (PB),Domicílios particulares permanentes - percentual do total geral,Percentual,100.00,Classes de rendimento nominal mensal domiciliar per capita,Total
Percentual por faixas de renda,2010,Município,2513703,Santa Rita (PB),Domicílios particulares permanentes - percentual do total geral,Percentual,19.90,Classes de rendimento nominal mensal domiciliar per capita,Até 1/4 de salário mínimo
Percentual por faixas de renda,2010,Município,2513703,Santa Rita (PB),Domicílios particulares permanentes - percentual do total geral,Percentual,30.48,Classes de rendimento nominal mensal domiciliar per capita,Mais de 1/4 a 1/2 salário mínimo
Percentual por faixas de renda,2010,Município,2513703,Santa Rita (PB),Domicílios particulares permanentes - percentual do total geral,Percentual,30.74,Classes de rendimento nominal mensal domiciliar per capita,Mais de 1/2 a 1 salário mínimo
Percentual por faixas de renda,2010,Município,2513703,Santa Rita (PB),Domicílios particulares permanentes - percentual do total geral,Percentual,10.14,Classes de rendimento nominal mensal domiciliar per capita,Mais de 1 a 2 salários mínimos
Percentual por faixas de renda,2010,Município,2513703,Santa Rita (PB),Domicílios particulares permanentes - percentual do total geral,Percentual,1.74,Classes de rendimento nominal mensal domiciliar per capita,Mais de 2 a 3 salários mínimos
Percentual por faixas de renda,2010,Município,2513703,Santa Rita (PB),Domicílios particulares permanentes - percentual do total geral,Percentual,0.88,Classes de rendimento nominal mensal domiciliar per capita,Mais de 3 a 5 salários mínimos
Percentual por faixas de renda,2010,Município,2513703,Santa Rita (PB),Domicílios particulares permanentes - percentual do total geral,Percentual,0.35,Classes de rendimento nominal mensal domiciliar per capita,Mais de 5 salários mínimos
Percentual por faixas de renda,2010,Município,2513703,Santa Rita (PB),Domicílios particulares permanentes - percentual do total geral,Percentual,5.77,Classes de rendimento nominal mensal domiciliar per capita,Sem rendimento
Percentual por faixas de renda,2010,Município,2510808,Patos (PB),Domicílios particulares permanentes - percentual do total geral,Percentual,100.00,Classes de rendimento nominal mensal domiciliar per capita,Total
Percentual por faixas de renda,2010,Município,2510808,Patos (PB),Domicílios particulares permanentes - percentual do total geral,Percentual,16.11,Classes de rendimento nominal mensal domiciliar per capita,Até 1/4 de salário mínimo
Percentual por faixas de renda,2010,Município,2510808,Patos (PB),Domicílios particulares permanentes - percentual do total geral,Percentual,27.07,Classes de rendimento nominal mensal domiciliar per capita,Mais de 1/4 a 1/2 salário mínimo
Percentual por faixas de renda,2010,Município,2510808,Patos (PB),Domicílios particulares permanentes - percentual do total geral,Percentual,31.72,Classes de rendimento nominal mensal domiciliar per capita,Mais de 1/2 a 1 salário mínimo
Percentual por faixas de renda,2010,Município,2510808,Patos (PB),Domicílios particulares permanentes - percentual do total geral,Percentual,13.70,Classes de rendimento nominal mensal domiciliar per capita,Mais de 1 a 2 salários mínimos
Percentual por faixas de renda,2010,Município,2510808,Patos (PB),Domicílios particulares permanentes - percentual do total geral,Percentual,3.63,Classes de rendimento nominal mensal domiciliar per capita,Mais de 2 a 3 salários mínimos
Percentual por faixas de renda,2010,Município,2510808,Patos (PB),Domicílios particulares permanentes - percentual do total geral,Percentual,2.55,Classes de rendimento nominal mensal domiciliar per capita,Mais de 3 a 5 salários mínimos
Percentual por faixas de renda,2010,Município,2510808,Patos (PB),Domicílios particulares permanentes - percentual do total geral,Percentual,1.85,Classes de rendimento nominal mensal domiciliar per capita,Mais de 5 salários mínimos
Percentual por faixas de renda,2010,Município,2510808,Patos (PB),Domicílios particulares permanentes - percentual do total geral,Percentual,3.37,Classes de rendimento nominal mensal domiciliar per capita,Sem rendimento
Percentual por faixas de renda,2010,Município,2501807,Bayeux (PB),Domicílios particulares permanentes - percentual do total geral,Percentual,100.00,Classes de rendimento nominal mensal domiciliar per capita,Total
Percentual por faixas de renda,2010,Município,2501807,Bayeux (PB),Domicílios particulares permanentes - percentual do total geral,Percentual,16.92,Classes de rendimento nominal mensal domiciliar per capita,Até 1/4 de salário mínimo
Percentual por faixas de renda,2010,Município,2501807,Bayeux (PB),Domicílios particulares permanentes - percentual do total geral,Percentual,30.77,Classes de rendimento nominal mensal domiciliar per capita,Mais de 1/4 a 1/2 salário mínimo
Percentual por faixas de renda,2010,Município,2501807,Bayeux (PB),Domicílios particulares permanentes - percentual do total geral,Percentual,32.15,Classes de rendimento nominal mensal domiciliar per capita,Mais de 1/2 a 1 salário mínimo
Percentual por faixas de renda,2010,Município,2501807,Bayeux (PB),Domicílios particulares permanentes - percentual do total geral,Percentual,12.16,Classes de rendimento nominal mensal domiciliar per capita,Mais de 1 a 2 salários mínimos
Percentual por faixas de renda,2010,Município,2501807,Bayeux (PB),Domicílios particulares permanentes - percentual do total geral,Percentual,1.87,Classes de rendimento nominal mensal domiciliar per capita,Mais de 2 a 3 salários mínimos
Percentual por faixas de renda,2010,Município,2501807,Bayeux (PB),Domicílios particulares permanentes - percentual do total geral,Percentual,0.84,Classes de rendimento nominal mensal domiciliar per capita,Mais de 3 a 5 salários mínimos
Percentual por faixas de renda,2010,Município,2501807,Bayeux (PB),Domicílios particulares permanentes - percentual do total geral,Percentual,0.32,Classes de rendimento nominal mensal domiciliar per capita,Mais de 5 salários mínimos
Percentual por faixas de renda,2010,Município,2501807,Bayeux (PB),Domicílios particulares permanentes - percentual do total geral,Percentual,4.97,Classes de rendimento nominal mensal domiciliar per capita,Sem rendimento
Percentual por faixas de renda,2010,Município,2516201,Sousa (PB),Domicílios particulares permanentes - percentual do total geral,Percentual,100.00,Classes de rendimento nominal mensal domiciliar per capita,Total
Percentual por faixas de renda,2010,Município,2516201,Sousa (PB),Domicílios particulares permanentes - percentual do total geral,Percentual,20.01,Classes de rendimento nominal mensal domiciliar per capita,Até 1/4 de salário mínimo
Percentual por faixas de renda,2010,Município,2516201,Sousa (PB),Domicílios particulares permanentes - percentual do total geral,Percentual,28.08,Classes de rendimento nominal mensal domiciliar per capita,Mais de 1/4 a 1/2 salário mínimo
Percentual por faixas de renda,2010,Município,2516201,Sousa (PB),Domicílios particulares permanentes - percentual do total geral,Percentual,30.31,Classes de rendimento nominal mensal domiciliar per capita,Mais de 1/2 a 1 salário mínimo
Percentual por faixas de renda,2010,Município,2516201,Sousa (PB),Domicílios particulares permanentes - percentual do total geral,Percentual,11.82,Classes de rendimento nominal mensal domiciliar per capita,Mais de 1 a 2 salários mínimos
Percentual por faixas de renda,2010,Município,2516201,Sousa (PB),Domicílios particulares permanentes - percentual do total geral,Percentual,3.29,Classes de rendimento nominal mensal domiciliar per capita,Mais de 2 a 3 salários mínimos
Percentual por faixas de renda,2010,Município,2516201,Sousa (PB),Domicílios particulares permanentes - percentual do total geral,Percentual,2.11,Classes de rendimento nominal mensal domiciliar per capita,Mais de 3 a 5 salários mínimos
Percentual por faixas de renda,2010,Município,2516201,Sousa (PB),Domicílios particulares permanentes - percentual do total geral,Percentual,1.45,Classes de rendimento nominal mensal domiciliar per capita,Mais de 5 salários mínimos
Percentual por faixas de renda,2010,Município,2516201,Sousa (PB),Domicílios particulares permanentes - percentual do total geral,Percentual,2.93,Classes de rendimento nominal mensal domiciliar per capita,Sem rendimento
Percentual por faixas de renda,2010,Município,2503209,Cabedelo (PB),Domicílios particulares permanentes - percentual do total geral,Percentual,100.00,Classes de rendimento nominal mensal domiciliar per capita,Total
Percentual por faixas de renda,2010,Município,2503209,Cabedelo (PB),Domicílios particulares permanentes - percentual do total geral,Percentual,13.06,Classes de rendimento nominal mensal domiciliar per capita,Até 1/4 de salário mínimo
Percentual por faixas de renda,2010,Município,2503209,Cabedelo (PB),Domicílios particulares permanentes - percentual do total geral,Percentual,21.22,Classes de rendimento nominal mensal domiciliar per capita,Mais de 1/4 a 1/2 salário mínimo
Percentual por faixas de renda,2010,Município,2503209,Cabedelo (PB),Domicílios particulares permanentes - percentual do total geral,Percentual,24.52,Classes de rendimento nominal mensal domiciliar per capita,Mais de 1/2 a 1 salário mínimo
Percentual por faixas de renda,2010,Município,2503209,Cabedelo (PB),Domicílios particulares permanentes - percentual do total geral,Percentual,16.13,Classes de rendimento nominal mensal domiciliar per capita,Mais de 1 a 2 salários mínimos
Percentual por faixas de renda,2010,Município,2503209,Cabedelo (PB),Domicílios particulares permanentes - percentual do total geral,Percentual,6.07,Classes de rendimento nominal mensal domiciliar per capita,Mais de 2 a 3 salários mínimos
Percentual por faixas de renda,2010,Município,2503209,Cabedelo (PB),Domicílios particulares permanentes - percentual do total geral,Percentual,6.43,Classes de rendimento nominal mensal domiciliar per capita,Mais de 3 a 5 salários mínimos
Percentual por faixas de renda,2010,Município,2503209,Cabedelo (PB),Domicílios particulares permanentes - percentual do total geral,Percentual,8.10,Classes de rendimento nominal mensal domiciliar per capita,Mais de 5 salários mínimos
Percentual por faixas de renda,2010,Município,2503209,Cabedelo (PB),Domicílios particulares permanentes - percentual do total geral,Percentual,4.47,Classes de rendimento nominal mensal domiciliar per capita,Sem rendimento
Percentual por faixas de renda,2010,Município,2503704,Cajazeiras (PB),Domicílios particulares permanentes - percentual do total geral,Percentual,100.00,Classes de rendimento nominal mensal domiciliar per capita,Total
Percentual por faixas de renda,2010,Município,2503704,Cajazeiras (PB),Domicílios particulares permanentes - percentual do total geral,Percentual,18.47,Classes de rendimento nominal mensal domiciliar per capita,Até 1/4 de salário mínimo
Percentual por faixas de renda,2010,Município,2503704,Cajazeiras (PB),Domicílios particulares permanentes - percentual do total geral,Percentual,25.04,Classes de rendimento nominal mensal domiciliar per capita,Mais de 1/4 a 1/2 salário mínimo
Percentual por faixas de renda,2010,Município,2503704,Cajazeiras (PB),Domicílios particulares permanentes - percentual do total geral,Percentual,31.74,Classes de rendimento nominal mensal domiciliar per capita,Mais de 1/2 a 1 salário mínimo
Percentual por faixas de renda,2010,Município,2503704,Cajazeiras (PB),Domicílios particulares permanentes - percentual do total geral,Percentual,13.26,Classes de rendimento nominal mensal domiciliar per capita,Mais de 1 a 2 salários mínimos
Percentual por faixas de renda,2010,Município,2503704,Cajazeiras (PB),Domicílios particulares permanentes - percentual do total geral,Percentual,3.76,Classes de rendimento nominal mensal domiciliar per capita,Mais de 2 a 3 salários mínimos
Percentual por faixas de renda,2010,Município,2503704,Cajazeiras (PB),Domicílios particulares permanentes - percentual do total geral,Percentual,2.51,Classes de rendimento nominal mensal domiciliar per capita,Mais de 3 a 5 salários mínimos
Percentual por faixas de renda,2010,Município,2503704,Cajazeiras (PB),Domicílios particulares permanentes - percentual do total geral,Percentual,1.83,Classes de rendimento nominal mensal domiciliar per capita,Mais de 5 salários mínimos
Percentual por faixas de renda,2010,Município,2503704,Cajazeiras (PB),Domicílios particulares permanentes - percentual do total geral,Percentual,3.40,Classes de rendimento nominal mensal domiciliar per capita,Sem rendimento
Percentual por faixas de renda,2010,Município,2506301,Guarabira (PB),Domicílios particulares permanentes - percentual do total geral,Percentual,100.00,Classes de rendimento nominal mensal domiciliar per capita,Total
Percentual por faixas de renda,2010,Município,2506301,Guarabira (PB),Domicílios particulares permanentes - percentual do total geral,Percentual,18.51,Classes de rendimento nominal mensal domiciliar per capita,Até 1/4 de salário mínimo
Percentual por faixas de renda,2010,Município,2506301,Guarabira (PB),Domicílios particulares permanentes - percentual do total geral,Percentual,26.75,Classes de rendimento nominal mensal domiciliar per capita,Mais de 1/4 a 1/2 salário mínimo
Percentual por faixas de renda,2010,Município,2506301,Guarabira (PB),Domicílios particulares permanentes - percentual do total geral,Percentual,33.13,Classes de rendimento nominal mensal domiciliar per capita,Mais de 1/2 a 1 salário mínimo
Percentual por faixas de renda,2010,Município,2506301,Guarabira (PB),Domicílios particulares permanentes - percentual do total geral,Percentual,11.62,Classes de rendimento nominal mensal domiciliar per capita,Mais de 1 a 2 salários mínimos
Percentual por faixas de renda,2010,Município,2506301,Guarabira (PB),Domicílios particulares permanentes - percentual do total geral,Percentual,3.13,Classes de rendimento nominal mensal domiciliar per capita,Mais de 2 a 3 salários mínimos
Percentual por faixas de renda,2010,Município,2506301,Guarabira (PB),Domicílios particulares permanentes - percentual do total geral,Percentual,1.91,Classes de rendimento nominal mensal domiciliar per capita,Mais de 3 a 5 salários mínimos
Percentual por faixas de renda,2010,Município,2506301,Guarabira (PB),Domicílios particulares permanentes - percentual do total geral,Percentual,1.10,Classes de rendimento nominal mensal domiciliar per capita,Mais de 5 salários mínimos
Percentual por faixas de renda,2010,Município,2506301,Guarabira (PB),Domicílios particulares permanentes - percentual do total geral,Percentual,3.83,Classes de rendimento nominal mensal domiciliar per capita,Sem rendimento
Percentual por faixas de renda,2010,Município,2515302,Sapé (PB),Domicílios particulares permanentes - percentual do total geral,Percentual,100.00,Classes de rendimento nominal mensal domiciliar per capita,Total
Percentual por faixas de renda,2010,Município,2515302,Sapé (PB),Domicílios particulares permanentes - percentual do total geral,Percentual,27.18,Classes de rendimento nominal mensal domiciliar per capita,Até 1/4 de salário mínimo
Percentual por faixas de renda,2010,Município,2515302,Sapé (PB),Domicílios particulares permanentes - percentual do total geral,Percentual,30.41,Classes de rendimento nominal mensal domiciliar per capita,Mais de 1/4 a 1/2 salário mínimo
Percentual por faixas de renda,2010,Município,2515302,Sapé (PB),Domicílios particulares permanentes - percentual do total geral,Percentual,25.57,Classes de rendimento nominal mensal domiciliar per capita,Mais de 1/2 a 1 salário mínimo
Percentual por faixas de renda,2010,Município,2515302,Sapé (PB),Domicílios particulares permanentes - percentual do total geral,Percentual,6.18,Classes de rendimento nominal mensal domiciliar per capita,Mais de 1 a 2 salários mínimos
Percentual por faixas de renda,2010,Município,2515302,Sapé (PB),Domicílios particulares permanentes - percentual do total geral,Percentual,1.31,Classes de rendimento nominal mensal domiciliar per capita,Mais de 2 a 3 salários mínimos
Percentual por faixas de renda,2010,Município,2515302,Sapé (PB),Domicílios particulares permanentes - percentual do total geral,Percentual,0.55,Classes de rendimento nominal mensal domiciliar per capita,Mais de 3 a 5 salários mínimos
Percentual por faixas de renda,2010,Município,2515302,Sapé (PB),Domicílios particulares permanentes - percentual do total geral,Percentual,0.31,Classes de rendimento nominal mensal domiciliar per capita,Mais de 5 salários mínimos
Percentual por faixas de renda,2010,Município,2515302,Sapé (PB),Domicílios particulares permanentes - percentual do total geral,Percentual,8.48,Classes de rendimento nominal mensal domiciliar per capita,Sem rendimento
