indicador,ano,nivel_territorial,codigo_localidade,localidade,variavel,unidade,valor,classificacao,categoria
Percentual por faixas de renda,2022,Unidade da Federação,25,Paraíba,"Moradores em domicílios particulares permanentes ocupados, exclusive os cuja condição no domicílio era pensionista, empregado(a) doméstico(a) ou parente do(a) empregado(a) doméstico(a) - percentual do total geral",Percentual,100.00,Classes de rendimento nominal mensal domiciliar per capita,Total
Percentual por faixas de renda,2022,Município,2500106,Água Branca (PB),"Moradores em domicílios particulares permanentes ocupados, exclusive os cuja condição no domicílio era pensionista, empregado(a) doméstico(a) ou parente do(a) empregado(a) doméstico(a) - percentual do total geral",Percentual,100.00,Classes de rendimento nominal mensal domiciliar per capita,Total
Percentual por faixas de renda,2022,Município,2500205,Aguiar (PB),"Moradores em domicílios particulares permanentes ocupados, exclusive os cuja condição no domicílio era pensionista, empregado(a) doméstico(a) ou parente do(a) empregado(a) doméstico(a) - percentual do total geral",Percentual,100.00,Classes de rendimento nominal mensal domiciliar per capita,Total
Percentual por faixas de renda,2022,Município,2500304,Alagoa Grande (PB),"Moradores em domicílios particulares permanentes ocupados, exclusive os cuja condição no domicílio era pensionista, empregado(a) doméstico(a) ou parente do(a) empregado(a) doméstico(a) - percentual do total geral",Percentual,100.00,Classes de rendimento nominal mensal domiciliar per capita,Total
Percentual por faixas de renda,2022,Município,2500403,Alagoa Nova (PB),"Moradores em domicílios particulares permanentes ocupados, exclusive os cuja condição no domicílio era pensionista, empregado(a) doméstico(a) ou parente do(a) empregado(a) doméstico(a) - percentual do total geral",Percentual,100.00,Classes de rendimento nominal mensal domiciliar per capita,Total
Percentual por faixas de renda,2022,Município,2500502,Alagoinha (PB),"Moradores em domicílios particulares permanentes ocupados, exclusive os cuja condição no domicílio era pensionista, empregado(a) doméstico(a) ou parente do(a) empregado(a) doméstico(a) - percentual do total geral",Percentual,100.00,Classes de rendimento nominal mensal domiciliar per capita,Total
Percentual por faixas de renda,2022,Município,2500536,Alcantil (PB),"Moradores em domicílios particulares permanentes ocupados, exclusive os cuja condição no domicílio era pensionista, empregado(a) doméstico(a) ou parente do(a) empregado(a) doméstico(a) - percentual do total geral",Percentual,100.00,Classes de rendimento nominal mensal domiciliar per capita,Total
Percentual por faixas de renda,2022,Município,2500577,Algodão de Jandaíra (PB),"Moradores em domicílios particulares permanentes ocupados, exclusive os cuja condição no domicílio era pensionista, empregado(a) doméstico(a) ou parente do(a) empregado(a) doméstico(a) - percentual do total geral",Percentual,100.00,Classes de rendimento nominal mensal domiciliar per capita,Total
Percentual por faixas de renda,2022,Município,2500601,Alhandra (PB),"Moradores em domicílios particulares permanentes ocupados, exclusive os cuja condição no domicílio era pensionista, empregado(a) doméstico(a) ou parente do(a) empregado(a) doméstico(a) - percentual do total geral",Percentual,100.00,Classes de rendimento nominal mensal domiciliar per capita,Total
Percentual por faixas de renda,2022,Município,2500700,São João do Rio do Peixe (PB),"Moradores em domicílios particulares permanentes ocupados, exclusive os cuja condição no domicílio era pensionista, empregado(a) doméstico(a) ou parente do(a) empregado(a) doméstico(a) - percentual do total geral",Percentual,100.00,Classes de rendimento nominal mensal domiciliar per capita,Total
Percentual por faixas de renda,2022,Município,2500734,Amparo (PB),"Moradores em domicílios particulares permanentes ocupados, exclusive os cuja condição no domicílio era pensionista, empregado(a) doméstico(a) ou parente do(a) empregado(a) doméstico(a) - percentual do total geral",Percentual,100.00,Classes de rendimento nominal mensal domiciliar per capita,Total
Percentual por faixas de renda,2022,Município,2500775,Aparecida (PB),"Moradores em domicílios particulares permanentes ocupados, exclusive os cuja condição no domicílio era pensionista, empregado(a) doméstico(a) ou parente do(a) empregado(a) doméstico(a) - percentual do total geral",Percentual,100.00,Classes de rendimento nominal mensal domiciliar per capita,Total
Percentual por faixas de renda,2022,Município,2500809,Araçagi (PB),"Moradores em domicílios particulares permanentes ocupados, exclusive os cuja condição no domicílio era pensionista, empregado(a) doméstico(a) ou parente do(a) empregado(a) doméstico(a) - percentual do total geral",Percentual,100.00,Classes de rendimento nominal mensal domiciliar per capita,Total
Percentual por faixas de renda,2022,Município,2500908,Arara (PB),"Moradores em domicílios particulares permanentes ocupados, exclusive os cuja condição no domicílio era pensionista, empregado(a) doméstico(a) ou parente do(a) empregado(a) doméstico(a) - percentual do total geral",Percentual,100.00,Classes de rendimento nominal mensal domiciliar per capita,Total
Percentual por faixas de renda,2022,Município,2501005,Araruna (PB),"Moradores em domicílios particulares permanentes ocupados, exclusive os cuja condição no domicílio era pensionista, empregado(a) doméstico(a) ou parente do(a) empregado(a) doméstico(a) - percentual do total geral",Percentual,100.00,Classes de rendimento nominal mensal domiciliar per capita,Total
