indicador,ano,nivel_territorial,codigo_localidade,localidade,variavel,unidade,valor,classificacao,categoria
Distribuição por faixas de renda,2010,Município,2507507,João Pessoa (PB),Domicílios particulares permanentes,Unidades,20100,Classes de rendimento nominal mensal domiciliar per capita,Até 1/4 de salário mínimo
Distribuição por faixas de renda,2010,Município,2507507,João Pessoa (PB),Domicílios particulares permanentes,Unidades,40967,Classes de rendimento nominal mensal domiciliar per capita,Mais de 1/4 a 1/2 salário mínimo
Distribuição por faixas de renda,2010,Município,2507507,João Pessoa (PB),Domicílios particulares permanentes,Unidades,56594,Classes de rendimento nominal mensal domiciliar per capita,Mais de 1/2 a 1 salário mínimo
Distribuição por faixas de renda,2010,Município,2507507,João Pessoa (PB),Domicílios particulares permanentes,Unidades,40791,Classes de rendimento nominal mensal domiciliar per capita,Mais de 1 a 2 salários mínimos
Distribuição por faixas de renda,2010,Município,2507507,João Pessoa (PB),Domicílios particulares permanentes,Unidades,15831,Classes de rendimento nominal mensal domiciliar per capita,Mais de 2 a 3 salários mínimos
Distribuição por faixas de renda,2010,Município,2507507,João Pessoa (PB),Domicílios particulares permanentes,Unidades,14728,Classes de rendimento nominal mensal domiciliar per capita,Mais de 3 a 5 salários mínimos
Distribuição por faixas de renda,2010,Município,2507507,João Pessoa (PB),Domicílios particulares permanentes,Unidades,16990,Classes de rendimento nominal mensal domiciliar per capita,Mais de 5 salários mínimos
Distribuição por faixas de renda,2010,Município,2507507,João Pessoa (PB),Domicílios particulares permanentes,Unidades,7251,Classes de rendimento nominal mensal domiciliar per capita,Sem rendimento
Distribuição por faixas de renda,2010,Município,2504009,Campina Grande (PB),Domicílios particulares permanentes,Unidades,111852,Classes de rendimento nominal mensal domiciliar per capita,Total
Distribuição por faixas de renda,2010,Município,2504009,Campina Grande (PB),Domicílios particulares permanentes,Unidades,14772,Classes de rendimento nominal mensal domiciliar per capita,Até 1/4 de salário mínimo
Distribuição por faixas de renda,2010,Município,2504009,Campina Grande (PB),Domicílios particulares permanentes,Unidades,27202,Classes de rendimento nominal mensal domiciliar per capita,Mais de 1/4 a 1/2 salário mínimo
Distribuição por faixas de renda,2010,Município,2504009,Campina Grande (PB),Domicílios particulares permanentes,Unidades,34337,Classes de rendimento nominal mensal domiciliar per capita,Mais de 1/2 a 1 salário mínimo
Distribuição por faixas de renda,2010,Município,2504009,Campina Grande (PB),Domicílios particulares permanentes,Unidades,17956,Classes de rendimento nominal mensal domiciliar per capita,Mais de 1 a 2 salários mínimos
Distribuição por faixas de renda,2010,Município,2504009,Campina Grande (PB),Domicílios particulares permanentes,Unidades,5848,Classes de rendimento nominal mensal domiciliar per capita,Mais de 2 a 3 salários mínimos
Distribuição por faixas de renda,2010,Município,2504009,Campina Grande (PB),Domicílios particulares permanentes,Unidades,4623,Classes de rendimento nominal mensal domiciliar per capita,Mais de 3 a 5 salários mínimos
Distribuição por faixas de renda,2010,Município,2504009,Campina Grande (PB),Domicílios particulares permanentes,Unidades,3976,Classes de rendimento nominal mensal domiciliar per capita,Mais de 5 salários mínimos
Distribuição por faixas de renda,2010,Município,2504009,Campina Grande (PB),Domicílios particulares permanentes,Unidades,3138,Classes de rendimento nominal mensal domiciliar per capita,Sem rendimento
Distribuição por faixas de renda,2010,Município,2513703,Santa Rita (PB),Domicílios particulares permanentes,Unidades,33546,Classes de rendimento nominal mensal domiciliar per capita,Total
Distribuição por faixas de renda,2010,Município,2513703,Santa Rita (PB),Domicílios particulares permanentes,Unidades,6674,Classes de rendimento nominal mensal domiciliar per capita,Até 1/4 de salário mínimo
Distribuição por faixas de renda,2010,Município,2513703,Santa Rita (PB),Domicílios particulares permanentes,Unidades,10224,Classes de rendimento nominal mensal domiciliar per capita,Mais de 1/4 a 1/2 salário mínimo
Distribuição por faixas de renda,2010,Município,2513703,Santa Rita (PB),Domicílios particulares permanentes,Unidades,10312,Classes de rendimento nominal mensal domiciliar per capita,Mais de 1/2 a 1 salário mínimo
Distribuição por faixas de renda,2010,Município,2513703,Santa Rita (PB),Domicílios particulares permanentes,Unidades,3402,Classes de rendimento nominal mensal domiciliar per capita,Mais de 1 a 2 salários mínimos
Distribuição por faixas de renda,2010,Município,2513703,Santa Rita (PB),Domicílios particulares permanentes,Unidades,583,Classes de rendimento nominal mensal domiciliar per capita,Mais de 2 a 3 salários mínimos
Distribuição por faixas de renda,2010,Município,2513703,Santa Rita (PB),Domicílios particulares permanentes,Unidades,296,Classes de rendimento nominal mensal domiciliar per capita,Mais de 3 a 5 salários mínimos
Distribuição por faixas de renda,2010,Município,2513703,Santa Rita (PB),Domicílios particulares permanentes,Unidades,118,Classes de rendimento nominal mensal domiciliar per capita,Mais de 5 salários mínimos
Distribuição por faixas de renda,2010,Município,2513703,Santa Rita (PB),Domicílios particulares permanentes,Unidades,1937,Classes de rendimento nominal mensal domiciliar per capita,Sem rendimento
Distribuição por faixas de renda,2010,Município,2510808,Patos (PB),Domicílios particulares permanentes,Unidades,28869,Classes de rendimento nominal mensal domiciliar per capita,Total
Distribuição por faixas de renda,2010,Município,2510808,Patos (PB),Domicílios particulares permanentes,Unidades,4650,Classes de rendimento nominal mensal domiciliar per capita,Até 1/4 de salário mínimo
Distribuição por faixas de renda,2010,Município,2510808,Patos (PB),Domicílios particulares permanentes,Unidades,7815,Classes de rendimento nominal mensal domiciliar per capita,Mais de 1/4 a 1/2 salário mínimo
Distribuição por faixas de renda,2010,Município,2510808,Patos (PB),Domicílios particulares permanentes,Unidades,9158,Classes de rendimento nominal mensal domiciliar per capita,Mais de 1/2 a 1 salário mínimo
Distribuição por faixas de renda,2010,Município,2510808,Patos (PB),Domicílios particulares permanentes,Unidades,3955,Classes de rendimento nominal mensal domiciliar per capita,Mais de 1 a 2 salários mínimos
Distribuição por faixas de renda,2010,Município,2510808,Patos (PB),Domicílios particulares permanentes,Unidades,1047,Classes de rendimento nominal mensal domiciliar per capita,Mais de 2 a 3 salários mínimos
